Wall time,Step,Value
1731600449.7536252,20500,0.0
1731601517.5049596,20611,0.0
1731601787.491362,20632,0.0
1731602378.58663,20701,0.0
1731602400.0300002,20704,0.0
1731602410.805192,20705,0.0
1731602793.6960995,20753,0.0
1731602990.5908594,20777,0.0
1731603518.3612788,20835,0.0
1731604331.7250607,20909,0.0
1731604832.075842,20949,0.0
1731604982.1073623,20957,0.0
1731605283.129663,20989,0.0
1731605369.78833,21002,0.0
1731605952.3254435,21066,0.0
1731606552.7075286,21131,0.0
1731606773.9346986,21154,0.0
1731607516.8861315,21238,0.0
1731607548.1722493,21241,0.0
1731607612.0276456,21246,0.0
1731608103.9419703,21313,0.0
1731608249.9040086,21331,0.0
1731608822.3341215,21406,0.0
1731609173.6480694,21445,0.0
1731609185.4885967,21446,0.0
1731610532.8142912,21603,0.0
1731610838.9832594,21645,0.0
1731610842.4791963,21646,0.0
1731611249.2448545,21711,0.0
1731611290.9735303,21717,0.0
1731611401.0890315,21737,0.0
1731611463.1014907,21743,0.0
1731611628.3859549,21764,0.0
1731611712.116551,21770,0.0
1731612242.1272357,21830,0.0
1731612780.893859,21889,0.0
1731613124.585707,21921,0.0
1731613182.329907,21928,0.0
1731623899.6275,22142,0.0
1731624171.3021817,22167,0.0
1731624330.207361,22180,0.0
1731624577.947127,22207,0.0
1731624632.9598682,22214,0.0
1731624755.4624598,22230,0.0
1731624800.9624305,22238,0.0
1731624954.7299938,22252,0.0
1731625237.5142493,22280,0.0
1731634805.1237235,22349,0.0
1731634827.0657513,22352,0.0
1731635122.5217187,22394,0.0
1731635337.5936766,22429,0.0
1731635570.2163894,22466,0.0
1731636157.1199443,22557,0.0
1731636266.8177004,22573,0.0
1731636942.9205136,22680,0.0
1731636982.999271,22687,0.0
1731637091.6428905,22699,0.0
1731637389.4950967,22750,0.0
1731637447.6647954,22762,0.0
1731638019.5867052,22852,0.0
1731638046.9536827,22855,0.0
1731638953.9247913,23002,0.0
1731638986.962088,23006,0.0
1731638991.0092819,23007,0.0
1731639105.5439978,23024,0.0
1731639245.1876967,23039,0.0
1731639296.4874232,23049,0.0
1731639365.2087135,23060,0.0
1731639383.4986136,23065,0.0
1731639409.8295975,23070,0.0
1731639632.6026528,23104,0.0
1731639683.2138674,23114,0.0
1731639835.2989585,23140,0.0
1731640144.2560375,23185,0.0
1731640312.3528216,23208,0.0
1731640677.9101138,23259,0.0
1731640821.5072112,23283,0.0
1731640956.7643516,23302,0.0
1731641054.7398784,23316,0.0
1731641221.5951529,23349,0.0
1731641902.9787545,23462,0.0
1731642256.972437,23511,0.0
1731642837.450121,23592,0.0
1731642907.2194946,23603,0.0
1731643033.7942748,23623,0.0
1731643425.3612974,23683,0.0
1731643512.9801435,23696,0.0
1731643760.1070964,23733,0.0
1731643877.6382673,23753,0.0
1731643945.2615933,23764,0.0
1731644532.9848008,23860,0.0
1731645467.2963717,24001,0.0
1731645691.900887,24040,0.0
1731645895.3428156,24069,0.0
1731646175.403,24108,0.0
1731646493.7213511,24156,0.0
1731646824.768924,24204,0.0
1731646832.9860475,24206,0.0
1731646879.9194236,24214,0.0
1731647063.7449996,24244,0.0
1731647215.5223117,24267,0.0
1731647294.7695737,24281,0.0
1731647662.4594612,24338,0.0
1731648270.9479566,24434,0.0
1731648618.4022064,24479,0.0
1731648649.526429,24483,0.0
1731649043.8680756,24543,0.0
1731649371.814019,24589,0.0
1731649564.367821,24619,0.0
1731649724.34449,24641,0.0
1731649763.4095027,24649,0.0
1731650630.7360158,24771,0.0
1731650864.977752,24801,0.0
1731651006.5810602,24823,0.0
1731651271.6489522,24856,0.0
1731651787.3980467,24930,0.0
1731652046.4239519,24969,0.0
1731652675.054903,25055,0.0
1731653119.7529922,25128,0.0
1731653273.672011,25153,0.0
1731653362.2552667,25166,0.0
1731653424.829163,25175,0.0
1731653948.3525877,25254,0.0
1731654418.7952685,25313,0.0
1731655124.3032734,25427,0.0
1731655217.6259112,25442,0.0
1731655774.982826,25521,0.0
1731656168.8037012,25583,0.0
1731656329.304515,25608,0.0
1731656866.8537679,25697,0.0
